id,order_id,product_id,sales,quantity,discount,profit,region,category
CA-2016-117415-0,CA-2016-117415,OFF-EN-10002986,113.33,9,0.20,35.41,Central,Office Supplies
CA-2016-117415-1,CA-2016-117415,FUR-BO-10002545,532.40,3,0.32,-46.98,Central,Furniture
CA-2016-117415-2,CA-2016-117415,FUR-CH-10004218,212.06,3,0.30,-15.15,Central,Furniture
CA-2016-117415-3,CA-2016-117415,TEC-PH-10000486,371.17,4,0.20,41.76,Central,Technology
CA-2018-120999-0,CA-2018-120999,TEC-PH-10004093,147.17,4,0.20,16.56,Central,Technology
CA-2017-101343-0,CA-2017-101343,OFF-ST-10003479,77.88,2,0.00,3.89,West,Office Supplies
CA-2018-139619-0,CA-2018-139619,OFF-ST-10003282,95.62,2,0.20,9.56,South,Office Supplies
CA-2017-118255-0,CA-2017-118255,TEC-AC-10000171,45.98,2,0.00,19.77,Central,Technology
CA-2017-118255-1,CA-2017-118255,OFF-BI-10003291,17.46,2,0.00,8.21,Central,Office Supplies
CA-2015-146703-0,CA-2015-146703,OFF-ST-10001713,211.96,4,0.00,8.48,Central,Office Supplies
CA-2017-169194-0,CA-2017-169194,TEC-AC-10002167,45.00,3,0.00,4.95,East,Technology
CA-2017-169194-1,CA-2017-169194,TEC-PH-10003988,21.80,2,0.00,6.10,East,Technology
CA-2016-115742-0,CA-2016-115742,OFF-BI-10004410,38.22,6,0.00,17.96,Central,Office Supplies
CA-2016-115742-1,CA-2016-115742,OFF-LA-10002762,75.18,6,0.00,35.33,Central,Office Supplies
CA-2016-115742-2,CA-2016-115742,FUR-FU-10001706,6.16,2,0.00,2.96,Central,Furniture
CA-2016-115742-3,CA-2016-115742,FUR-CH-10003061,89.99,1,0.00,17.10,Central,Furniture
CA-2017-105816-0,CA-2017-105816,OFF-FA-10000304,15.26,7,0.00,6.26,East,Office Supplies
CA-2017-105816-1,CA-2017-105816,TEC-PH-10002447,1029.95,5,0.00,298.69,East,Technology
CA-2017-111682-0,CA-2017-111682,OFF-ST-10000604,208.56,6,0.00,52.14,East,Office Supplies
CA-2017-111682-1,CA-2017-111682,OFF-PA-10001569,32.40,5,0.00,15.55,East,Office Supplies
CA-2017-111682-2,CA-2017-111682,FUR-CH-10003968,319.41,5,0.10,7.10,East,Furniture
CA-2017-111682-3,CA-2017-111682,OFF-PA-10000587,14.56,2,0.00,6.99,East,Office Supplies
CA-2017-111682-4,CA-2017-111682,TEC-AC-10002167,30.00,2,0.00,3.30,East,Technology
CA-2017-111682-5,CA-2017-111682,OFF-BI-10001460,48.48,4,0.20,16.36,East,Office Supplies
CA-2017-111682-6,CA-2017-111682,OFF-AR-10001868,1.68,1,0.00,0.84,East,Office Supplies
CA-2016-135545-0,CA-2016-135545,TEC-AC-10004633,13.98,2,0.00,6.15,West,Technology
CA-2016-135545-1,CA-2016-135545,OFF-BI-10001078,25.82,6,0.20,9.36,West,Office Supplies
CA-2016-135545-2,CA-2016-135545,OFF-PA-10003892,146.73,3,0.00,68.96,West,Office Supplies
CA-2016-135545-3,CA-2016-135545,FUR-FU-10000397,79.76,4,0.00,22.33,West,Furniture
US-2016-164175-0,US-2016-164175,FUR-CH-10001146,213.12,5,0.30,-15.22,Central,Furniture
CA-2015-106376-0,CA-2015-106376,OFF-AR-10002671,1113.02,8,0.20,111.30,West,Office Supplies
CA-2015-106376-1,CA-2015-106376,TEC-PH-10002726,167.97,4,0.20,62.99,West,Technology
CA-2017-119823-0,CA-2017-119823,OFF-PA-10000482,75.88,2,0.00,35.66,South,Office Supplies
CA-2017-106075-0,CA-2017-106075,OFF-BI-10004654,4.62,1,0.20,1.73,East,Office Supplies
CA-2018-114440-0,CA-2018-114440,OFF-PA-10004675,19.05,3,0.00,8.76,Central,Office Supplies
US-2016-134026-0,US-2016-134026,FUR-CH-10000513,831.94,8,0.20,-114.39,South,Furniture
US-2016-134026-1,US-2016-134026,FUR-FU-10003708,97.04,2,0.20,1.21,South,Furniture
US-2016-134026-2,US-2016-134026,OFF-ST-10004123,72.78,1,0.20,-18.20,South,Office Supplies
US-2018-118038-0,US-2018-118038,OFF-BI-10004182,1.25,3,0.80,-1.93,Central,Office Supplies
US-2018-118038-1,US-2018-118038,FUR-FU-10000260,9.71,3,0.60,-5.82,Central,Furniture
US-2018-118038-2,US-2018-118038,OFF-ST-10000615,27.24,3,0.20,2.72,Central,Office Supplies
US-2015-147606-0,US-2015-147606,FUR-FU-10003194,19.30,5,0.60,-14.47,Central,Furniture
CA-2017-127208-0,CA-2017-127208,OFF-AP-10002118,208.16,1,0.00,56.20,South,Office Supplies
CA-2017-127208-1,CA-2017-127208,OFF-BI-10002309,16.74,3,0.00,8.04,South,Office Supplies
CA-2015-139451-0,CA-2015-139451,OFF-AR-10002053,14.90,5,0.00,4.17,West,Office Supplies
CA-2015-139451-1,CA-2015-139451,OFF-ST-10002370,21.39,1,0.00,6.20,West,Office Supplies
CA-2016-149734-0,CA-2016-149734,OFF-EN-10000927,200.98,7,0.20,62.81,South,Office Supplies
US-2018-119662-0,US-2018-119662,OFF-ST-10003656,230.38,3,0.20,-48.95,Central,Office Supplies
CA-2018-140088-0,CA-2018-140088,FUR-CH-10000863,301.96,2,0.00,33.22,South,Furniture
CA-2018-155558-0,CA-2018-155558,TEC-AC-10001998,19.99,1,0.00,6.80,Central,Technology
CA-2018-155558-1,CA-2018-155558,OFF-LA-10000134,6.16,2,0.00,2.96,Central,Office Supplies
CA-2017-159695-0,CA-2017-159695,OFF-ST-10003442,158.37,7,0.20,13.86,Central,Office Supplies
CA-2017-109806-0,CA-2017-109806,OFF-AR-10004930,20.10,3,0.00,6.63,West,Office Supplies
CA-2017-109806-1,CA-2017-109806,TEC-PH-10004093,73.58,2,0.20,8.28,West,Technology
CA-2017-109806-2,CA-2017-109806,OFF-PA-10000304,6.48,1,0.00,3.11,West,Office Supplies
CA-2016-149587-0,CA-2016-149587,OFF-PA-10003177,12.96,2,0.00,6.22,Central,Office Supplies
CA-2016-149587-1,CA-2016-149587,FUR-FU-10003799,53.34,3,0.00,16.54,Central,Furniture
CA-2016-149587-2,CA-2016-149587,OFF-BI-10002852,32.96,2,0.00,16.15,Central,Office Supplies
US-2018-109484-0,US-2018-109484,OFF-BI-10004738,5.68,1,0.70,-3.79,West,Office Supplies
CA-2018-161018-0,CA-2018-161018,FUR-FU-10000629,96.53,7,0.00,40.54,East,Furniture
CA-2018-157833-0,CA-2018-157833,OFF-BI-10001721,51.31,3,0.20,17.96,West,Office Supplies
CA-2017-149223-0,CA-2017-149223,OFF-AP-10000358,77.88,6,0.00,22.59,Central,Office Supplies
CA-2017-158568-0,CA-2017-158568,OFF-PA-10003256,64.62,7,0.20,22.62,Central,Office Supplies
CA-2017-158568-1,CA-2017-158568,TEC-AC-10001767,95.98,3,0.20,-10.80,Central,Technology
CA-2017-158568-2,CA-2017-158568,OFF-BI-10002609,1.79,3,0.80,-3.04,Central,Office Supplies
CA-2017-129903-0,CA-2017-129903,OFF-PA-10004040,23.92,4,0.00,11.72,Central,Office Supplies
US-2016-156867-0,US-2016-156867,TEC-AC-10001552,238.90,6,0.20,-26.88,West,Technology
US-2016-156867-1,US-2016-156867,FUR-FU-10004006,102.36,3,0.20,-3.84,West,Furniture
US-2016-156867-2,US-2016-156867,OFF-BI-10002794,36.88,3,0.70,-25.82,West,Office Supplies
CA-2018-119004-0,CA-2018-119004,TEC-AC-10003499,74.11,8,0.20,17.60,South,Technology
CA-2018-119004-1,CA-2018-119004,TEC-PH-10002844,27.99,1,0.20,2.10,South,Technology
CA-2018-119004-2,CA-2018-119004,OFF-AR-10000390,3.30,1,0.20,1.07,South,Office Supplies
CA-2016-129476-0,CA-2016-129476,TEC-AC-10000844,339.96,5,0.20,67.99,Central,Technology
CA-2018-146780-0,CA-2018-146780,FUR-FU-10001934,41.96,2,0.00,10.91,East,Furniture
CA-2017-128867-0,CA-2017-128867,OFF-AR-10000380,75.96,2,0.00,22.79,Central,Office Supplies
CA-2017-128867-1,CA-2017-128867,OFF-BI-10003981,27.24,6,0.00,13.35,Central,Office Supplies
CA-2015-115259-0,CA-2015-115259,OFF-FA-10000621,40.10,14,0.20,14.53,East,Office Supplies
CA-2015-115259-1,CA-2015-115259,OFF-EN-10002600,4.72,2,0.20,1.65,East,Office Supplies
CA-2015-115259-2,CA-2015-115259,OFF-PA-10004965,23.98,3,0.20,7.49,East,Office Supplies
CA-2015-115259-3,CA-2015-115259,OFF-EN-10002504,130.46,6,0.20,44.03,East,Office Supplies
CA-2016-110457-0,CA-2016-110457,FUR-TA-10001768,787.53,3,0.00,165.38,West,Furniture
US-2016-136476-0,US-2016-136476,OFF-BI-10003650,157.79,1,0.70,-115.72,South,Office Supplies
CA-2017-103730-0,CA-2017-103730,FUR-FU-10002157,47.04,3,0.00,18.35,East,Furniture
CA-2017-103730-1,CA-2017-103730,OFF-BI-10003910,30.84,4,0.00,13.88,East,Office Supplies
CA-2017-103730-2,CA-2017-103730,OFF-ST-10000777,226.56,6,0.00,63.44,East,Office Supplies
CA-2017-103730-3,CA-2017-103730,OFF-EN-10002500,115.02,9,0.00,51.76,East,Office Supplies
CA-2017-103730-4,CA-2017-103730,TEC-PH-10003875,68.04,7,0.00,19.73,East,Technology
US-2015-152030-0,US-2015-152030,FUR-CH-10004063,600.56,3,0.30,-8.58,Central,Furniture
US-2015-134614-0,US-2015-134614,FUR-TA-10004534,617.70,6,0.50,-407.68,Central,Furniture
US-2018-107272-0,US-2018-107272,OFF-BI-10003274,2.39,2,0.70,-1.83,West,Office Supplies
US-2018-107272-1,US-2018-107272,OFF-ST-10002974,243.99,7,0.20,30.50,West,Office Supplies
US-2017-125969-0,US-2017-125969,FUR-CH-10001146,81.42,2,0.20,-9.16,West,Furniture
US-2017-125969-1,US-2017-125969,FUR-FU-10003773,238.56,3,0.00,26.24,West,Furniture
US-2018-164147-0,US-2018-164147,TEC-PH-10002293,59.97,5,0.40,-11.99,East,Technology
US-2018-164147-1,US-2018-164147,OFF-PA-10002377,78.30,2,0.20,29.36,East,Office Supplies
US-2018-164147-2,US-2018-164147,OFF-FA-10002780,21.46,9,0.20,6.97,East,Office Supplies
CA-2017-145583-0,CA-2017-145583,OFF-PA-10001804,20.04,3,0.00,9.62,West,Office Supplies
CA-2017-145583-1,CA-2017-145583,OFF-PA-10001736,35.44,1,0.00,16.66,West,Office Supplies
CA-2017-145583-2,CA-2017-145583,OFF-AR-10001149,11.52,4,0.00,3.46,West,Office Supplies
CA-2017-145583-3,CA-2017-145583,OFF-FA-10002988,4.02,2,0.00,1.97,West,Office Supplies
CA-2017-145583-4,CA-2017-145583,OFF-BI-10004781,76.18,3,0.20,26.66,West,Office Supplies
CA-2017-145583-5,CA-2017-145583,OFF-SU-10001218,65.88,6,0.00,18.45,West,Office Supplies
CA-2017-145583-6,CA-2017-145583,FUR-FU-10001706,43.12,14,0.00,20.70,West,Furniture
CA-2017-110366-0,CA-2017-110366,FUR-FU-10004848,82.80,2,0.20,10.35,East,Furniture
CA-2018-106180-0,CA-2018-106180,OFF-AR-10000940,8.82,3,0.00,2.38,West,Office Supplies
CA-2018-106180-1,CA-2018-106180,OFF-EN-10004030,10.86,3,0.00,5.10,West,Office Supplies
CA-2018-106180-2,CA-2018-106180,OFF-PA-10004327,143.70,3,0.00,68.98,West,Office Supplies
CA-2018-155376-0,CA-2018-155376,OFF-AP-10001058,839.43,3,0.00,218.25,Central,Office Supplies
CA-2016-110744-0,CA-2016-110744,OFF-ST-10003656,671.93,7,0.00,20.16,West,Office Supplies
CA-2015-110072-0,CA-2015-110072,FUR-FU-10000521,93.89,4,0.20,12.91,East,Furniture
CA-2017-114489-0,CA-2017-114489,TEC-PH-10000215,384.45,11,0.00,103.80,Central,Technology
CA-2017-114489-1,CA-2017-114489,TEC-PH-10001448,149.97,3,0.00,6.00,Central,Technology
CA-2017-114489-2,CA-2017-114489,FUR-CH-10000454,1951.84,8,0.00,585.55,Central,Furniture
CA-2017-114489-3,CA-2017-114489,OFF-BI-10002735,171.55,5,0.00,80.63,Central,Office Supplies
CA-2017-158834-0,CA-2017-158834,OFF-AP-10000326,157.92,5,0.20,17.77,West,Office Supplies
CA-2017-158834-1,CA-2017-158834,TEC-PH-10001254,203.18,2,0.20,15.24,West,Technology
CA-2016-124919-0,CA-2016-124919,OFF-PA-10001950,58.38,7,0.00,26.27,West,Office Supplies
CA-2016-124919-1,CA-2016-124919,OFF-PA-10002254,105.52,4,0.00,48.54,West,Office Supplies
CA-2016-124919-2,CA-2016-124919,OFF-ST-10001590,80.88,6,0.00,21.03,West,Office Supplies
CA-2016-118948-0,CA-2016-118948,OFF-AR-10001547,6.63,3,0.00,1.79,West,Office Supplies
CA-2015-104269-0,CA-2015-104269,FUR-CH-10004063,457.57,2,0.20,51.48,West,Furniture
CA-2017-114104-0,CA-2017-114104,OFF-LA-10002475,14.62,2,0.00,6.87,Central,Office Supplies
CA-2017-114104-1,CA-2017-114104,TEC-PH-10004536,944.93,7,0.00,236.23,Central,Technology
CA-2017-162733-0,CA-2017-162733,OFF-PA-10002751,5.98,1,0.00,2.69,West,Office Supplies
CA-2016-119697-0,CA-2016-119697,TEC-AC-10003657,54.38,2,0.20,1.36,East,Technology
CA-2017-154508-0,CA-2017-154508,OFF-EN-10001990,28.40,5,0.00,13.35,West,Office Supplies
CA-2017-113817-0,CA-2017-113817,OFF-BI-10004002,27.68,2,0.20,9.69,West,Office Supplies
CA-2015-139892-0,CA-2015-139892,OFF-AR-10004441,9.94,3,0.20,2.73,Central,Office Supplies
CA-2015-139892-1,CA-2015-139892,TEC-MA-10000822,8159.95,8,0.40,-1359.99,Central,Technology
CA-2015-139892-2,CA-2015-139892,OFF-ST-10000991,275.93,3,0.20,-58.63,Central,Office Supplies
CA-2015-139892-3,CA-2015-139892,FUR-CH-10004287,1740.06,9,0.30,-24.86,Central,Furniture
CA-2015-139892-4,CA-2015-139892,OFF-AR-10002656,32.06,6,0.20,6.81,Central,Office Supplies
CA-2015-139892-5,CA-2015-139892,OFF-AP-10002518,177.98,5,0.80,-453.85,Central,Office Supplies
CA-2015-139892-6,CA-2015-139892,TEC-PH-10003931,143.98,3,0.20,9.00,Central,Technology
CA-2015-118962-0,CA-2015-118962,OFF-PA-10000659,20.94,3,0.00,9.84,West,Office Supplies
CA-2015-118962-1,CA-2015-118962,OFF-PA-10001144,110.96,2,0.00,53.26,West,Office Supplies
CA-2015-118962-2,CA-2015-118962,FUR-CH-10003817,340.14,7,0.20,21.26,West,Furniture
US-2015-100853-0,US-2015-100853,OFF-AP-10000891,52.45,2,0.80,-131.12,Central,Office Supplies
US-2015-100853-1,US-2015-100853,OFF-LA-10003148,20.16,4,0.20,6.55,Central,Office Supplies
US-2018-152366-0,US-2018-152366,OFF-AP-10002684,97.26,4,0.80,-243.16,Central,Office Supplies
US-2016-101511-0,US-2016-101511,FUR-CH-10004698,396.80,7,0.30,-11.34,East,Furniture
US-2016-101511-1,US-2016-101511,OFF-SU-10002189,15.88,5,0.20,-3.77,East,Office Supplies
CA-2016-137225-0,CA-2016-137225,OFF-AR-10001940,3.28,1,0.00,1.41,East,Office Supplies
CA-2015-166191-0,CA-2015-166191,OFF-ST-10003455,24.82,2,0.20,1.86,Central,Office Supplies
CA-2015-166191-1,CA-2015-166191,TEC-AC-10004659,408.74,7,0.20,76.64,Central,Technology
CA-2015-158274-0,CA-2015-158274,TEC-PH-10003273,503.96,4,0.00,131.03,South,Technology
CA-2015-158274-1,CA-2015-158274,TEC-PH-10004896,149.95,5,0.00,41.99,South,Technology
CA-2015-158274-2,CA-2015-158274,TEC-AC-10002345,29.00,2,0.00,7.25,South,Technology
CA-2017-105018-0,CA-2017-105018,OFF-BI-10001890,7.16,2,0.00,3.44,East,Office Supplies
CA-2015-123260-0,CA-2015-123260,TEC-AC-10002323,176.80,8,0.00,22.98,West,Technology
CA-2017-157000-0,CA-2017-157000,OFF-ST-10001328,37.22,3,0.20,3.72,Central,Office Supplies
CA-2017-157000-1,CA-2017-157000,OFF-PA-10001950,20.02,3,0.20,6.25,Central,Office Supplies
CA-2016-102281-0,CA-2016-102281,FUR-BO-10002613,899.14,4,0.20,112.39,East,Furniture
CA-2016-102281-1,CA-2016-102281,TEC-PH-10001552,71.76,6,0.00,20.09,East,Technology
CA-2016-102281-2,CA-2016-102281,OFF-PA-10000061,51.84,8,0.00,24.88,East,Office Supplies
CA-2016-102281-3,CA-2016-102281,FUR-BO-10002545,626.35,3,0.20,46.98,East,Furniture
CA-2016-102281-4,CA-2016-102281,OFF-AR-10003514,19.90,5,0.00,6.57,East,Office Supplies
CA-2016-131457-0,CA-2016-131457,OFF-EN-10001509,14.28,7,0.00,6.71,West,Office Supplies
CA-2015-140004-0,CA-2015-140004,OFF-AR-10004685,7.41,2,0.20,1.20,East,Office Supplies
CA-2015-140004-1,CA-2015-140004,OFF-AR-10004027,6.05,3,0.20,1.59,East,Office Supplies
CA-2018-107720-0,CA-2018-107720,OFF-ST-10001414,46.26,3,0.00,12.03,East,Office Supplies
US-2018-124303-0,US-2018-124303,OFF-BI-10000343,2.95,2,0.70,-2.26,East,Office Supplies
US-2018-124303-1,US-2018-124303,OFF-PA-10002749,16.06,3,0.20,5.82,East,Office Supplies
CA-2018-105074-0,CA-2018-105074,OFF-PA-10002666,21.74,3,0.20,6.79,East,Office Supplies
CA-2015-133690-0,CA-2015-133690,FUR-TA-10004289,218.75,2,0.50,-161.88,West,Furniture
CA-2015-133690-1,CA-2015-133690,OFF-AP-10003622,2.60,1,0.20,0.29,West,Office Supplies
US-2018-116701-0,US-2018-116701,OFF-AP-10003217,66.28,2,0.80,-178.97,Central,Office Supplies
CA-2018-126382-0,CA-2018-126382,FUR-FU-10002960,35.17,7,0.20,9.67,South,Furniture
CA-2018-108329-0,CA-2018-108329,TEC-PH-10001918,444.77,4,0.20,44.48,West,Technology
CA-2018-135860-0,CA-2018-135860,OFF-ST-10000642,83.92,4,0.00,5.87,Central,Office Supplies
CA-2018-135860-1,CA-2018-135860,TEC-PH-10001700,131.98,2,0.00,35.63,Central,Technology
CA-2018-135860-2,CA-2018-135860,OFF-BI-10003274,15.92,4,0.00,7.48,Central,Office Supplies
CA-2018-135860-3,CA-2018-135860,OFF-FA-10000134,52.29,9,0.00,16.21,Central,Office Supplies
CA-2018-135860-4,CA-2018-135860,OFF-ST-10001522,91.99,1,0.00,3.68,Central,Office Supplies
CA-2016-101007-0,CA-2016-101007,TEC-AC-10001266,20.80,2,0.20,6.50,Central,Technology
CA-2016-146262-0,CA-2016-146262,OFF-LA-10004544,23.68,2,0.20,8.88,East,Office Supplies
CA-2016-146262-1,CA-2016-146262,FUR-BO-10004695,452.45,5,0.50,-244.32,East,Furniture
CA-2016-146262-2,CA-2016-146262,TEC-PH-10002844,62.98,3,0.40,-14.70,East,Technology
CA-2016-146262-3,CA-2016-146262,TEC-MA-10000864,1188.00,9,0.70,-950.40,East,Technology
CA-2016-146262-4,CA-2016-146262,TEC-AC-10000109,89.58,2,0.20,4.48,East,Technology
CA-2017-130162-0,CA-2017-130162,OFF-ST-10001328,93.06,6,0.00,26.06,West,Office Supplies
CA-2017-130162-1,CA-2017-130162,TEC-PH-10002563,302.38,3,0.20,22.68,West,Technology
CA-2016-169397-0,CA-2016-169397,OFF-FA-10000585,5.58,2,0.20,1.81,East,Office Supplies
CA-2016-169397-1,CA-2016-169397,OFF-PA-10004000,22.70,6,0.20,8.23,East,Office Supplies
CA-2016-169397-2,CA-2016-169397,OFF-BI-10002852,19.78,4,0.70,-13.84,East,Office Supplies
CA-2016-169397-3,CA-2016-169397,FUR-FU-10000087,72.70,4,0.20,19.08,East,Furniture
CA-2016-169397-4,CA-2016-169397,TEC-MA-10001148,479.99,4,0.70,-383.99,East,Technology
CA-2016-169397-5,CA-2016-169397,OFF-AR-10001958,27.17,2,0.20,2.72,East,Office Supplies
CA-2016-163055-0,CA-2016-163055,OFF-AR-10001026,2.20,1,0.00,0.97,Central,Office Supplies
CA-2016-163055-1,CA-2016-163055,FUR-TA-10003748,622.45,5,0.00,136.94,Central,Furniture
CA-2016-163055-2,CA-2016-163055,OFF-ST-10002485,21.98,1,0.00,0.22,Central,Office Supplies
US-2016-145436-0,US-2016-145436,FUR-CH-10004860,161.57,2,0.20,-28.27,South,Furniture
US-2016-145436-1,US-2016-145436,FUR-CH-10004477,389.70,8,0.20,43.84,South,Furniture
US-2015-156216-0,US-2015-156216,OFF-BI-10001679,18.65,7,0.70,-12.43,South,Office Supplies
US-2018-100930-0,US-2018-100930,FUR-TA-10001705,233.86,2,0.45,-102.05,South,Furniture
US-2018-100930-1,US-2018-100930,FUR-TA-10003473,620.61,3,0.45,-248.25,South,Furniture
US-2018-100930-2,US-2018-100930,OFF-BI-10001679,5.33,2,0.70,-3.55,South,Office Supplies
US-2018-100930-3,US-2018-100930,FUR-FU-10004017,258.07,3,0.20,0.00,South,Furniture
US-2018-100930-4,US-2018-100930,TEC-AC-10003832,617.98,3,0.20,-7.72,South,Technology
CA-2018-160514-0,CA-2018-160514,OFF-PA-10002479,10.56,2,0.00,4.75,West,Office Supplies
CA-2017-157749-0,CA-2017-157749,OFF-PA-10003349,25.92,5,0.20,9.40,Central,Office Supplies
CA-2017-157749-1,CA-2017-157749,FUR-FU-10000576,419.68,5,0.60,-356.73,Central,Furniture
CA-2017-157749-2,CA-2017-157749,FUR-FU-10004351,11.69,3,0.60,-4.68,Central,Furniture
CA-2017-157749-3,CA-2017-157749,TEC-PH-10000011,31.98,2,0.20,11.19,Central,Technology
CA-2017-157749-4,CA-2017-157749,FUR-TA-10002607,177.22,5,0.50,-120.51,Central,Furniture
CA-2017-157749-5,CA-2017-157749,FUR-FU-10002505,4.04,3,0.60,-2.83,Central,Furniture
CA-2017-157749-6,CA-2017-157749,OFF-AR-10004685,7.41,2,0.20,1.20,Central,Office Supplies
CA-2015-131926-0,CA-2015-131926,FUR-CH-10004063,2001.86,7,0.00,580.54,Central,Furniture
CA-2015-131926-1,CA-2015-131926,OFF-ST-10002276,166.72,2,0.00,41.68,Central,Office Supplies
CA-2015-131926-2,CA-2015-131926,OFF-PA-10004082,47.88,6,0.00,23.94,Central,Office Supplies
CA-2015-131926-3,CA-2015-131926,OFF-AP-10002945,1503.25,5,0.00,496.07,Central,Office Supplies
CA-2015-131926-4,CA-2015-131926,OFF-PA-10000061,25.92,4,0.00,12.44,Central,Office Supplies
CA-2017-154739-0,CA-2017-154739,FUR-CH-10002965,321.57,2,0.20,28.14,West,Furniture
CA-2017-145625-0,CA-2017-145625,OFF-PA-10004569,7.61,1,0.00,3.58,West,Office Supplies
CA-2017-145625-1,CA-2017-145625,TEC-AC-10003832,3347.37,13,0.00,636.00,West,Technology
CA-2017-146941-0,CA-2017-146941,OFF-ST-10001228,80.58,6,0.00,22.56,East,Office Supplies
CA-2017-146941-1,CA-2017-146941,OFF-EN-10003296,361.92,4,0.00,162.86,East,Office Supplies
US-2016-159982-0,US-2016-159982,FUR-FU-10002505,12.13,9,0.60,-8.49,Central,Furniture
US-2016-159982-1,US-2016-159982,OFF-ST-10004804,82.37,2,0.20,-19.56,Central,Office Supplies
US-2016-159982-2,US-2016-159982,OFF-ST-10001590,53.92,5,0.20,4.04,Central,Office Supplies
US-2016-159982-3,US-2016-159982,TEC-PH-10001580,647.90,6,0.20,56.69,Central,Technology
CA-2018-163139-0,CA-2018-163139,TEC-AC-10000290,20.37,3,0.00,6.93,East,Technology
CA-2018-163139-1,CA-2018-163139,OFF-ST-10002790,221.55,3,0.00,6.65,East,Office Supplies
CA-2018-163139-2,CA-2018-163139,OFF-BI-10003460,17.52,5,0.20,6.13,East,Office Supplies
US-2018-155299-0,US-2018-155299,OFF-AP-10002203,1.62,2,0.80,-4.47,Central,Office Supplies
